==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
2021-06-16 00:12:41.798247 I | raft: 3b0281aae13188e7 is starting a new election at term 11
2021-06-16 00:12:41.799565 I | raft: 3b0281aae13188e7 became candidate at term 12
2021-06-16 00:12:41.802954 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 12
2021-06-16 00:12:41.803106 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 12
2021-06-16 00:12:43.641843 I | raft: 3b0281aae13188e7 is starting a new election at term 12
2021-06-16 00:12:43.641888 I | raft: 3b0281aae13188e7 became candidate at term 13
2021-06-16 00:12:43.641902 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 13
2021-06-16 00:12:43.641953 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 13
2021-06-16 00:12:44.050731 W | etcdserver: timed out waiting for read index response
2021-06-16 00:12:44.185605 W | rafthttp: health check for peer 9a1d8025a2aec31a could not connect: dial tcp: lookup wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-16 00:12:44.641914 I | raft: 3b0281aae13188e7 is starting a new election at term 13
2021-06-16 00:12:44.642161 I | raft: 3b0281aae13188e7 became candidate at term 14
2021-06-16 00:12:44.642315 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 14
2021-06-16 00:12:44.642474 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 14
2021-06-16 00:12:46.548213 I | raft: 3b0281aae13188e7 is starting a new election at term 14
2021-06-16 00:12:46.548453 I | raft: 3b0281aae13188e7 became candidate at term 15
2021-06-16 00:12:46.548581 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 15
2021-06-16 00:12:46.548705 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 15
2021-06-16 00:12:48.141703 I | raft: 3b0281aae13188e7 is starting a new election at term 15
2021-06-16 00:12:48.141762 I | raft: 3b0281aae13188e7 became candidate at term 16
2021-06-16 00:12:48.141776 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 16
2021-06-16 00:12:48.141828 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 16
2021-06-16 00:12:49.187049 W | rafthttp: health check for peer 9a1d8025a2aec31a could not connect: dial tcp: lookup wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-16 00:12:49.441706 I | raft: 3b0281aae13188e7 is starting a new election at term 16
2021-06-16 00:12:49.441887 I | raft: 3b0281aae13188e7 became candidate at term 17
2021-06-16 00:12:49.442015 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 17
2021-06-16 00:12:49.442125 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 17
2021-06-16 00:12:50.741938 I | raft: 3b0281aae13188e7 is starting a new election at term 17
2021-06-16 00:12:50.741985 I | raft: 3b0281aae13188e7 became candidate at term 18
2021-06-16 00:12:50.741999 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 18
2021-06-16 00:12:50.742008 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 18
2021-06-16 00:12:51.050955 W | etcdserver: timed out waiting for read index response
2021-06-16 00:12:52.042595 I | raft: 3b0281aae13188e7 is starting a new election at term 18
2021-06-16 00:12:52.042813 I | raft: 3b0281aae13188e7 became candidate at term 19
2021-06-16 00:12:52.042849 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 19
2021-06-16 00:12:52.042862 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 19
2021-06-16 00:12:53.041705 I | raft: 3b0281aae13188e7 is starting a new election at term 19
2021-06-16 00:12:53.041753 I | raft: 3b0281aae13188e7 became candidate at term 20
2021-06-16 00:12:53.041768 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 20
2021-06-16 00:12:53.041780 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 20
2021-06-16 00:12:54.041920 I | raft: 3b0281aae13188e7 is starting a new election at term 20
2021-06-16 00:12:54.041986 I | raft: 3b0281aae13188e7 became candidate at term 21
2021-06-16 00:12:54.042001 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 21
2021-06-16 00:12:54.042013 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 21
2021-06-16 00:12:54.187247 W | rafthttp: health check for peer 9a1d8025a2aec31a could not connect: dial tcp: lookup wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-16 00:12:55.241828 I | raft: 3b0281aae13188e7 is starting a new election at term 21
2021-06-16 00:12:55.241877 I | raft: 3b0281aae13188e7 became candidate at term 22
2021-06-16 00:12:55.241892 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 22
2021-06-16 00:12:55.241905 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 22
2021-06-16 00:12:55.322092 I | rafthttp: peer 9a1d8025a2aec31a became active
2021-06-16 00:12:55.322513 I | rafthttp: established a TCP streaming connection with peer 9a1d8025a2aec31a (stream Message writer)
2021-06-16 00:12:55.322659 I | rafthttp: established a TCP streaming connection with peer 9a1d8025a2aec31a (stream MsgApp v2 writer)
2021-06-16 00:12:55.385091 I | rafthttp: established a TCP streaming connection with peer 9a1d8025a2aec31a (stream MsgApp v2 reader)
2021-06-16 00:12:55.388246 I | rafthttp: established a TCP streaming connection with peer 9a1d8025a2aec31a (stream Message reader)
2021-06-16 00:12:56.268455 W | etcdserver/membership: Reject add member request: the number of started member (1) will be less than the quorum number of the cluster (2)
2021-06-16 00:12:56.268518 W | etcdserver: not enough started members, rejecting member add {ID:c2d71f250d0432ef RaftAttributes:{PeerURLs:[http://wcm-etcd-cluster-qhrnhc6t55.wcm-etcd-cluster.wcm-system.svc:2380]} Attributes:{Name: ClientURLs:[]}}
2021-06-16 00:12:56.442023 I | raft: 3b0281aae13188e7 is starting a new election at term 22
2021-06-16 00:12:56.442146 I | raft: 3b0281aae13188e7 became candidate at term 23
2021-06-16 00:12:56.442177 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 23
2021-06-16 00:12:56.442219 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 23
2021-06-16 00:12:56.444366 I | raft: 3b0281aae13188e7 received MsgVoteResp from 9a1d8025a2aec31a at term 23
2021-06-16 00:12:56.444387 I | raft: 3b0281aae13188e7 [quorum:2] has received 2 MsgVoteResp votes and 0 vote rejections
2021-06-16 00:12:56.444431 I | raft: 3b0281aae13188e7 became leader at term 23
