==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc'
nslookup: can't resolve 'wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
2021-09-23 23:03:17.382704 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 10
2021-09-23 23:03:18.482657 I | raft: 6c4c8f4655e4dacc is starting a new election at term 10
2021-09-23 23:03:18.482757 I | raft: 6c4c8f4655e4dacc became candidate at term 11
2021-09-23 23:03:18.482966 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 11
2021-09-23 23:03:18.482985 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 11
2021-09-23 23:03:19.782554 I | raft: 6c4c8f4655e4dacc is starting a new election at term 11
2021-09-23 23:03:19.782606 I | raft: 6c4c8f4655e4dacc became candidate at term 12
2021-09-23 23:03:19.782648 I | raft: 6c4c8f4655e4dacc received MsgVoteResp from 6c4c8f4655e4dacc at term 12
2021-09-23 23:03:19.782661 I | raft: 6c4c8f4655e4dacc [logterm: 2, index: 5] sent MsgVote request to 1c16dd9ccd9e7b3e at term 12
2021-09-23 23:03:21.682579 I | raft: 6c4c8f4655e4dacc is starting a new election at term 12
