==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
2021-05-27 04:48:41.543769 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 18
2021-05-27 04:48:41.543778 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 18
2021-05-27 04:48:43.043818 I | raft: ca7bf658747b74e8 is starting a new election at term 18
2021-05-27 04:48:43.043864 I | raft: ca7bf658747b74e8 became candidate at term 19
2021-05-27 04:48:43.043878 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 19
2021-05-27 04:48:43.043888 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 19
2021-05-27 04:48:44.343701 I | raft: ca7bf658747b74e8 is starting a new election at term 19
2021-05-27 04:48:44.343734 I | raft: ca7bf658747b74e8 became candidate at term 20
2021-05-27 04:48:44.343747 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 20
2021-05-27 04:48:44.343759 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 20
2021-05-27 04:48:45.643728 I | raft: ca7bf658747b74e8 is starting a new election at term 20
2021-05-27 04:48:45.643773 I | raft: ca7bf658747b74e8 became candidate at term 21
2021-05-27 04:48:45.643787 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 21
2021-05-27 04:48:45.643799 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 21
2021-05-27 04:48:46.452869 W | rafthttp: health check for peer e27129b2eead44af could not connect: dial tcp: lookup wcm-etcd-cluster-kgl4xpd2dd.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-27 04:48:47.443721 I | raft: ca7bf658747b74e8 is starting a new election at term 21
2021-05-27 04:48:47.443777 I | raft: ca7bf658747b74e8 became candidate at term 22
2021-05-27 04:48:47.443793 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 22
2021-05-27 04:48:47.443806 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 22
2021-05-27 04:48:48.139251 I | rafthttp: peer e27129b2eead44af became active
2021-05-27 04:48:48.139278 I | rafthttp: established a TCP streaming connection with peer e27129b2eead44af (stream MsgApp v2 reader)
2021-05-27 04:48:48.139779 I | rafthttp: established a TCP streaming connection with peer e27129b2eead44af (stream Message reader)
2021-05-27 04:48:48.143457 I | rafthttp: established a TCP streaming connection with peer e27129b2eead44af (stream Message writer)
2021-05-27 04:48:48.143677 I | rafthttp: established a TCP streaming connection with peer e27129b2eead44af (stream MsgApp v2 writer)
2021-05-27 04:48:48.743725 I | raft: ca7bf658747b74e8 is starting a new election at term 22
2021-05-27 04:48:48.743764 I | raft: ca7bf658747b74e8 became candidate at term 23
2021-05-27 04:48:48.743779 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 23
2021-05-27 04:48:48.743792 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 23
2021-05-27 04:48:48.746068 I | raft: ca7bf658747b74e8 received MsgVoteResp from e27129b2eead44af at term 23
2021-05-27 04:48:48.746095 I | raft: ca7bf658747b74e8 [quorum:2] has received 2 MsgVoteResp votes and 0 vote rejections
2021-05-27 04:48:48.746111 I | raft: ca7bf658747b74e8 became leader at term 23
2021-05-27 04:48:48.746122 I | raft: raft.node: ca7bf658747b74e8 elected leader ca7bf658747b74e8 at term 23
2021-05-27 04:48:56.509016 I | etcdserver/membership: added member d1e0eba8082a43c5 [http://wcm-etcd-cluster-2bqqg8z92f.wcm-etcd-cluster.wcm-system.svc:2380] to cluster bf81ccadd788aa8a
2021-05-27 04:48:56.509059 I | rafthttp: starting peer d1e0eba8082a43c5...
2021-05-27 04:48:56.509128 I | rafthttp: started HTTP pipelining with peer d1e0eba8082a43c5
2021-05-27 04:48:56.511535 I | rafthttp: started streaming with peer d1e0eba8082a43c5 (writer)
2021-05-27 04:48:56.514993 I | rafthttp: started streaming with peer d1e0eba8082a43c5 (writer)
2021-05-27 04:48:56.515258 I | rafthttp: started peer d1e0eba8082a43c5
2021-05-27 04:48:56.515335 I | rafthttp: added peer d1e0eba8082a43c5
2021-05-27 04:48:56.515387 I | rafthttp: started streaming with peer d1e0eba8082a43c5 (stream MsgApp v2 reader)
2021-05-27 04:48:56.515470 I | rafthttp: started streaming with peer d1e0eba8082a43c5 (stream Message reader)
