==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
2021-06-14 14:49:49.468652 W | etcdserver: cannot get the version of member 1c7dade43e0b3c2b (Get http://wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:49:53.326347 I | etcdserver/membership: added member f987123f2b9a9bea [http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 66567b2efa916fe7
2021-06-14 14:49:53.326398 I | rafthttp: starting peer f987123f2b9a9bea...
2021-06-14 14:49:53.326610 I | rafthttp: started HTTP pipelining with peer f987123f2b9a9bea
2021-06-14 14:49:53.327394 I | rafthttp: started streaming with peer f987123f2b9a9bea (writer)
2021-06-14 14:49:53.327803 I | rafthttp: started peer f987123f2b9a9bea
2021-06-14 14:49:53.327916 I | rafthttp: added peer f987123f2b9a9bea
2021-06-14 14:49:53.328155 I | rafthttp: started streaming with peer f987123f2b9a9bea (writer)
2021-06-14 14:49:53.328833 I | rafthttp: started streaming with peer f987123f2b9a9bea (stream Message reader)
2021-06-14 14:49:53.329203 I | rafthttp: started streaming with peer f987123f2b9a9bea (stream MsgApp v2 reader)
2021-06-14 14:49:53.475141 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380) of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:49:53.475357 W | etcdserver: cannot get the version of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:49:57.480742 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380) of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:49:57.480806 W | etcdserver: cannot get the version of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:49:58.329024 W | rafthttp: health check for peer f987123f2b9a9bea could not connect: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:50:01.490707 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380) of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:01.491055 W | etcdserver: cannot get the version of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:03.332749 W | rafthttp: health check for peer f987123f2b9a9bea could not connect: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:50:05.497630 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380) of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:05.497675 W | etcdserver: cannot get the version of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:08.333028 W | rafthttp: health check for peer f987123f2b9a9bea could not connect: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:50:09.501336 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380) of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:09.501375 W | etcdserver: cannot get the version of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:13.333380 W | rafthttp: health check for peer f987123f2b9a9bea could not connect: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:50:13.508645 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380) of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:13.508734 W | etcdserver: cannot get the version of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-06-14 14:50:17.512472 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380) of member f987123f2b9a9bea (Get http://wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-86f5qwcp5v.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
