==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
2021-06-01 17:44:31.345603 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 14
2021-06-01 17:44:31.345620 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 14
2021-06-01 17:44:32.745623 W | rafthttp: health check for peer 884520eb65bfd47c could not connect: dial tcp: lookup wcm-etcd-cluster-ffb5sphj52.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-01 17:44:33.045588 I | raft: 7ef515033cdbaf0c is starting a new election at term 14
2021-06-01 17:44:33.045638 I | raft: 7ef515033cdbaf0c became candidate at term 15
2021-06-01 17:44:33.045653 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 15
2021-06-01 17:44:33.045665 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 15
2021-06-01 17:44:34.945505 I | raft: 7ef515033cdbaf0c is starting a new election at term 15
2021-06-01 17:44:34.945550 I | raft: 7ef515033cdbaf0c became candidate at term 16
2021-06-01 17:44:34.945562 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 16
2021-06-01 17:44:34.945574 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 16
2021-06-01 17:44:36.245531 I | raft: 7ef515033cdbaf0c is starting a new election at term 16
2021-06-01 17:44:36.245572 I | raft: 7ef515033cdbaf0c became candidate at term 17
2021-06-01 17:44:36.245587 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 17
2021-06-01 17:44:36.245609 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 17
2021-06-01 17:44:37.745863 W | rafthttp: health check for peer 884520eb65bfd47c could not connect: dial tcp: lookup wcm-etcd-cluster-ffb5sphj52.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-01 17:44:38.145517 I | raft: 7ef515033cdbaf0c is starting a new election at term 17
2021-06-01 17:44:38.145568 I | raft: 7ef515033cdbaf0c became candidate at term 18
2021-06-01 17:44:38.145589 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 18
2021-06-01 17:44:38.145600 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 18
2021-06-01 17:44:39.445537 I | raft: 7ef515033cdbaf0c is starting a new election at term 18
2021-06-01 17:44:39.445587 I | raft: 7ef515033cdbaf0c became candidate at term 19
2021-06-01 17:44:39.445602 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 19
2021-06-01 17:44:39.445615 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 19
2021-06-01 17:44:40.545646 I | raft: 7ef515033cdbaf0c is starting a new election at term 19
2021-06-01 17:44:40.545696 I | raft: 7ef515033cdbaf0c became candidate at term 20
2021-06-01 17:44:40.545750 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 20
2021-06-01 17:44:40.545782 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 20
2021-06-01 17:44:42.345537 I | raft: 7ef515033cdbaf0c is starting a new election at term 20
2021-06-01 17:44:42.345575 I | raft: 7ef515033cdbaf0c became candidate at term 21
2021-06-01 17:44:42.345589 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 21
2021-06-01 17:44:42.345601 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 21
2021-06-01 17:44:42.746099 W | rafthttp: health check for peer 884520eb65bfd47c could not connect: dial tcp: lookup wcm-etcd-cluster-ffb5sphj52.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-01 17:44:43.745567 I | raft: 7ef515033cdbaf0c is starting a new election at term 21
2021-06-01 17:44:43.745611 I | raft: 7ef515033cdbaf0c became candidate at term 22
2021-06-01 17:44:43.745622 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 22
